taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 27194 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 20709 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 27346 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 39857 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 26976 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 36262 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 34592 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 35460 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 34094 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 30454 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 33443 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 25566 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 25275 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 36963 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 32888 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 27826 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 35748 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 37354 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 31481 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 27438 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 31002 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 33544 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 35252 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 34402 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 19219 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 30279 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 38396 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 25412 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 31896 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 31816 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 34951 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 25678 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 33169 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 30987 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 38771 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 37623 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 34110 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 33086 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 39488 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 33034 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 34862 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 33167 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 31479 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 29158 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 26374 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 30273 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 38338 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 28347 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 37800 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 28477 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 32490 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 38025 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 32492 -- 0 -- 4000 -- 500 -- 0 -- 1
