taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 32265 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 33545 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 39406 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 34305 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 9365 -- 0 -- 4000 -- 500 -- 0 -- 2
6 -- 4 -- 36551 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 39183 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 7060 -- 0 -- 4000 -- 500 -- 0 -- 2
9 -- 4 -- 36209 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 34018 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 7442 -- 0 -- 4000 -- 500 -- 0 -- 2
12 -- 4 -- 25992 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 24861 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 10501 -- 0 -- 4000 -- 500 -- 0 -- 2
15 -- 4 -- 8225 -- 0 -- 4000 -- 500 -- 0 -- 2
16 -- 4 -- 8452 -- 0 -- 4000 -- 500 -- 0 -- 2
17 -- 4 -- 28589 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 40792 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 8101 -- 0 -- 4000 -- 500 -- 0 -- 2
20 -- 4 -- 35839 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 10697 -- 0 -- 4000 -- 500 -- 0 -- 2
22 -- 4 -- 35429 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 32039 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 35185 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 6141 -- 0 -- 4000 -- 500 -- 0 -- 2
26 -- 4 -- 28232 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 8467 -- 0 -- 4000 -- 500 -- 0 -- 2
28 -- 4 -- 36523 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 41108 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 27185 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 41296 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 8876 -- 0 -- 4000 -- 500 -- 0 -- 2
33 -- 4 -- 5936 -- 0 -- 4000 -- 500 -- 0 -- 2
34 -- 4 -- 5485 -- 0 -- 4000 -- 500 -- 0 -- 2
35 -- 4 -- 30126 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 29025 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 9611 -- 0 -- 4000 -- 500 -- 0 -- 2
38 -- 4 -- 3942 -- 0 -- 4000 -- 500 -- 0 -- 2
39 -- 4 -- 26081 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 27523 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 9455 -- 0 -- 4000 -- 500 -- 0 -- 2
