taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 32261 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 31877 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 32619 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 32058 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 31579 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 32271 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 30943 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 32567 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 31727 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 32852 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 31781 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 31662 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 32304 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 32165 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 31742 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 31788 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 32138 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 32076 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 32338 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 32534 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 31670 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 31940 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 32033 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 32859 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 32791 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 31403 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 31503 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 32905 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 31085 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 32197 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 32401 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 32116 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 31717 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 31688 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 31612 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 31882 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 31167 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 31103 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 32844 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 32367 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 31465 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 32062 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 31517 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 31598 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 31579 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 32757 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 31588 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 32316 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 31536 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 31760 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 31891 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 32600 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 31813 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 31623 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 31897 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 31279 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 32231 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 32034 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 31723 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 31604 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 31702 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 32101 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 32170 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 31207 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 32681 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 32134 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 33267 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 31755 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 32277 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 32065 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 32495 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 32142 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 32944 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 31219 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 31583 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 32491 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 31444 -- 0 -- 4000 -- 500 -- 0 -- 1
78 -- 4 -- 32353 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 31864 -- 0 -- 4000 -- 500 -- 0 -- 1
80 -- 4 -- 32076 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 32252 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 31354 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 32053 -- 0 -- 4000 -- 500 -- 0 -- 1
84 -- 4 -- 32634 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 30601 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 32247 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 31628 -- 0 -- 4000 -- 500 -- 0 -- 1
88 -- 4 -- 32030 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 30806 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 32834 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 32253 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 31928 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 32118 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 32518 -- 0 -- 4000 -- 500 -- 0 -- 1
95 -- 4 -- 32661 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 32044 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 32034 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 32535 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 30926 -- 0 -- 4000 -- 500 -- 0 -- 1
100 -- 4 -- 31387 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 32481 -- 0 -- 4000 -- 500 -- 0 -- 1
102 -- 4 -- 32117 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 32943 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 31115 -- 0 -- 4000 -- 500 -- 0 -- 1
105 -- 4 -- 32421 -- 0 -- 4000 -- 500 -- 0 -- 1
106 -- 4 -- 31766 -- 0 -- 4000 -- 500 -- 0 -- 1
107 -- 4 -- 32640 -- 0 -- 4000 -- 500 -- 0 -- 1
108 -- 4 -- 32047 -- 0 -- 4000 -- 500 -- 0 -- 1
109 -- 4 -- 32215 -- 0 -- 4000 -- 500 -- 0 -- 1
110 -- 4 -- 31393 -- 0 -- 4000 -- 500 -- 0 -- 1
111 -- 4 -- 31400 -- 0 -- 4000 -- 500 -- 0 -- 1
112 -- 4 -- 32425 -- 0 -- 4000 -- 500 -- 0 -- 1
113 -- 4 -- 32226 -- 0 -- 4000 -- 500 -- 0 -- 1
114 -- 4 -- 31536 -- 0 -- 4000 -- 500 -- 0 -- 1
115 -- 4 -- 32331 -- 0 -- 4000 -- 500 -- 0 -- 1
116 -- 4 -- 32606 -- 0 -- 4000 -- 500 -- 0 -- 1
117 -- 4 -- 32355 -- 0 -- 4000 -- 500 -- 0 -- 1
118 -- 4 -- 31924 -- 0 -- 4000 -- 500 -- 0 -- 1
119 -- 4 -- 32315 -- 0 -- 4000 -- 500 -- 0 -- 1
120 -- 4 -- 31684 -- 0 -- 4000 -- 500 -- 0 -- 1
121 -- 4 -- 31951 -- 0 -- 4000 -- 500 -- 0 -- 1
122 -- 4 -- 32558 -- 0 -- 4000 -- 500 -- 0 -- 1
123 -- 4 -- 32332 -- 0 -- 4000 -- 500 -- 0 -- 1
124 -- 4 -- 31954 -- 0 -- 4000 -- 500 -- 0 -- 1
125 -- 4 -- 31803 -- 0 -- 4000 -- 500 -- 0 -- 1
126 -- 4 -- 31891 -- 0 -- 4000 -- 500 -- 0 -- 1
127 -- 4 -- 32780 -- 0 -- 4000 -- 500 -- 0 -- 1
128 -- 4 -- 32219 -- 0 -- 4000 -- 500 -- 0 -- 1
129 -- 4 -- 31593 -- 0 -- 4000 -- 500 -- 0 -- 1
130 -- 4 -- 32705 -- 0 -- 4000 -- 500 -- 0 -- 1
131 -- 4 -- 30996 -- 0 -- 4000 -- 500 -- 0 -- 1
