taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 7530 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 7656 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 7778 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 7606 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 8639 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 8016 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 8018 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 8142 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 7888 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 8973 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 8002 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 8163 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 7754 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 7711 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 7718 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 8105 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 8581 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 7787 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 7551 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 7874 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 8452 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 8487 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 7903 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 7738 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 7265 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 8209 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 7898 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 7707 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 8315 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 7695 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 7466 -- 0 -- 4000 -- 500 -- 0 -- 1
