taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 8742 -- 0 -- 4000 -- 500 -- 0 -- 2
2 -- 4 -- 8263 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 10053 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 4892 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 7661 -- 0 -- 4000 -- 500 -- 0 -- 2
6 -- 4 -- 8303 -- 0 -- 4000 -- 500 -- 0 -- 2
7 -- 4 -- 10768 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 7081 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 5504 -- 0 -- 4000 -- 500 -- 0 -- 2
10 -- 4 -- 7402 -- 0 -- 4000 -- 500 -- 0 -- 2
11 -- 4 -- 7923 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 10788 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 10219 -- 0 -- 4000 -- 500 -- 0 -- 2
14 -- 4 -- 6773 -- 0 -- 4000 -- 500 -- 0 -- 2
15 -- 4 -- 8650 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 4646 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 6913 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 9090 -- 0 -- 4000 -- 500 -- 0 -- 2
19 -- 4 -- 8483 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 8092 -- 0 -- 4000 -- 500 -- 0 -- 2
21 -- 4 -- 7782 -- 0 -- 4000 -- 500 -- 0 -- 2
22 -- 4 -- 5062 -- 0 -- 4000 -- 500 -- 0 -- 2
23 -- 4 -- 5086 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 10556 -- 0 -- 4000 -- 500 -- 0 -- 2
25 -- 4 -- 6655 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 11871 -- 0 -- 4000 -- 500 -- 0 -- 2
27 -- 4 -- 10185 -- 0 -- 4000 -- 500 -- 0 -- 2
28 -- 4 -- 9659 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 9651 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 6869 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 7020 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 6209 -- 0 -- 4000 -- 500 -- 0 -- 2
33 -- 4 -- 7741 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 7415 -- 0 -- 4000 -- 500 -- 0 -- 2
35 -- 4 -- 7316 -- 0 -- 4000 -- 500 -- 0 -- 2
36 -- 4 -- 8485 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 8158 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 7166 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 7965 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 10470 -- 0 -- 4000 -- 500 -- 0 -- 2
41 -- 4 -- 7218 -- 0 -- 4000 -- 500 -- 0 -- 2
42 -- 4 -- 8995 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 5060 -- 0 -- 4000 -- 500 -- 0 -- 2
44 -- 4 -- 6975 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 12092 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 9332 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 12079 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 7710 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 8126 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 8555 -- 0 -- 4000 -- 500 -- 0 -- 2
51 -- 4 -- 10693 -- 0 -- 4000 -- 500 -- 0 -- 2
52 -- 4 -- 10636 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 11249 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 9750 -- 0 -- 4000 -- 500 -- 0 -- 2
55 -- 4 -- 9277 -- 0 -- 4000 -- 500 -- 0 -- 2
56 -- 4 -- 8041 -- 0 -- 4000 -- 500 -- 0 -- 2
57 -- 4 -- 10042 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 5699 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 7595 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 8906 -- 0 -- 4000 -- 500 -- 0 -- 2
61 -- 4 -- 12015 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 9183 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 7763 -- 0 -- 4000 -- 500 -- 0 -- 2
64 -- 4 -- 6564 -- 0 -- 4000 -- 500 -- 0 -- 2
65 -- 4 -- 8143 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 9168 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 9793 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 7380 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 7893 -- 0 -- 4000 -- 500 -- 0 -- 2
70 -- 4 -- 5395 -- 0 -- 4000 -- 500 -- 0 -- 2
71 -- 4 -- 6045 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 9597 -- 0 -- 4000 -- 500 -- 0 -- 2
73 -- 4 -- 6978 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 7417 -- 0 -- 4000 -- 500 -- 0 -- 2
75 -- 4 -- 9707 -- 0 -- 4000 -- 500 -- 0 -- 2
76 -- 4 -- 6249 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 9556 -- 0 -- 4000 -- 500 -- 0 -- 2
78 -- 4 -- 8164 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 5928 -- 0 -- 4000 -- 500 -- 0 -- 2
80 -- 4 -- 7462 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 10067 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 3913 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 9815 -- 0 -- 4000 -- 500 -- 0 -- 2
84 -- 4 -- 5795 -- 0 -- 4000 -- 500 -- 0 -- 2
85 -- 4 -- 6269 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 10224 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 11629 -- 0 -- 4000 -- 500 -- 0 -- 2
88 -- 4 -- 8740 -- 0 -- 4000 -- 500 -- 0 -- 2
89 -- 4 -- 9955 -- 0 -- 4000 -- 500 -- 0 -- 2
90 -- 4 -- 9859 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 11328 -- 0 -- 4000 -- 500 -- 0 -- 2
92 -- 4 -- 11646 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 9832 -- 0 -- 4000 -- 500 -- 0 -- 2
94 -- 4 -- 7583 -- 0 -- 4000 -- 500 -- 0 -- 2
95 -- 4 -- 7376 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 4519 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 9010 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 6795 -- 0 -- 4000 -- 500 -- 0 -- 2
99 -- 4 -- 9920 -- 0 -- 4000 -- 500 -- 0 -- 2
100 -- 4 -- 3925 -- 0 -- 4000 -- 500 -- 0 -- 2
101 -- 4 -- 9811 -- 0 -- 4000 -- 500 -- 0 -- 2
102 -- 4 -- 7341 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 9420 -- 0 -- 4000 -- 500 -- 0 -- 2
104 -- 4 -- 8405 -- 0 -- 4000 -- 500 -- 0 -- 2
105 -- 4 -- 12127 -- 0 -- 4000 -- 500 -- 0 -- 1
106 -- 4 -- 4976 -- 0 -- 4000 -- 500 -- 0 -- 2
107 -- 4 -- 7538 -- 0 -- 4000 -- 500 -- 0 -- 2
108 -- 4 -- 8685 -- 0 -- 4000 -- 500 -- 0 -- 2
109 -- 4 -- 6312 -- 0 -- 4000 -- 500 -- 0 -- 2
110 -- 4 -- 6136 -- 0 -- 4000 -- 500 -- 0 -- 2
111 -- 4 -- 5907 -- 0 -- 4000 -- 500 -- 0 -- 1
112 -- 4 -- 7790 -- 0 -- 4000 -- 500 -- 0 -- 1
113 -- 4 -- 7335 -- 0 -- 4000 -- 500 -- 0 -- 1
114 -- 4 -- 6972 -- 0 -- 4000 -- 500 -- 0 -- 1
115 -- 4 -- 9512 -- 0 -- 4000 -- 500 -- 0 -- 1
116 -- 4 -- 10488 -- 0 -- 4000 -- 500 -- 0 -- 1
117 -- 4 -- 5767 -- 0 -- 4000 -- 500 -- 0 -- 1
118 -- 4 -- 8973 -- 0 -- 4000 -- 500 -- 0 -- 1
119 -- 4 -- 4522 -- 0 -- 4000 -- 500 -- 0 -- 2
120 -- 4 -- 4452 -- 0 -- 4000 -- 500 -- 0 -- 1
121 -- 4 -- 7147 -- 0 -- 4000 -- 500 -- 0 -- 2
122 -- 4 -- 10991 -- 0 -- 4000 -- 500 -- 0 -- 1
123 -- 4 -- 4856 -- 0 -- 4000 -- 500 -- 0 -- 1
124 -- 4 -- 8601 -- 0 -- 4000 -- 500 -- 0 -- 2
125 -- 4 -- 8747 -- 0 -- 4000 -- 500 -- 0 -- 2
126 -- 4 -- 8286 -- 0 -- 4000 -- 500 -- 0 -- 1
127 -- 4 -- 11064 -- 0 -- 4000 -- 500 -- 0 -- 1
128 -- 4 -- 7768 -- 0 -- 4000 -- 500 -- 0 -- 2
129 -- 4 -- 9345 -- 0 -- 4000 -- 500 -- 0 -- 2
130 -- 4 -- 6816 -- 0 -- 4000 -- 500 -- 0 -- 2
131 -- 4 -- 7127 -- 0 -- 4000 -- 500 -- 0 -- 2
132 -- 4 -- 7242 -- 0 -- 4000 -- 500 -- 0 -- 2
133 -- 4 -- 6737 -- 0 -- 4000 -- 500 -- 0 -- 2
134 -- 4 -- 9262 -- 0 -- 4000 -- 500 -- 0 -- 2
135 -- 4 -- 8408 -- 0 -- 4000 -- 500 -- 0 -- 2
136 -- 4 -- 7239 -- 0 -- 4000 -- 500 -- 0 -- 2
137 -- 4 -- 8386 -- 0 -- 4000 -- 500 -- 0 -- 1
138 -- 4 -- 4211 -- 0 -- 4000 -- 500 -- 0 -- 2
139 -- 4 -- 5531 -- 0 -- 4000 -- 500 -- 0 -- 2
140 -- 4 -- 11305 -- 0 -- 4000 -- 500 -- 0 -- 2
141 -- 4 -- 9677 -- 0 -- 4000 -- 500 -- 0 -- 2
142 -- 4 -- 9359 -- 0 -- 4000 -- 500 -- 0 -- 2
143 -- 4 -- 6042 -- 0 -- 4000 -- 500 -- 0 -- 1
144 -- 4 -- 7666 -- 0 -- 4000 -- 500 -- 0 -- 2
145 -- 4 -- 3192 -- 0 -- 4000 -- 500 -- 0 -- 1
146 -- 4 -- 7111 -- 0 -- 4000 -- 500 -- 0 -- 2
147 -- 4 -- 5759 -- 0 -- 4000 -- 500 -- 0 -- 2
148 -- 4 -- 13079 -- 0 -- 4000 -- 500 -- 0 -- 2
149 -- 4 -- 11175 -- 0 -- 4000 -- 500 -- 0 -- 1
150 -- 4 -- 8284 -- 0 -- 4000 -- 500 -- 0 -- 2
151 -- 4 -- 6964 -- 0 -- 4000 -- 500 -- 0 -- 2
152 -- 4 -- 6543 -- 0 -- 4000 -- 500 -- 0 -- 1
153 -- 4 -- 9450 -- 0 -- 4000 -- 500 -- 0 -- 2
