taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 8099 -- 0 -- 4000 -- 500 -- 0 -- 2
2 -- 4 -- 7878 -- 0 -- 4000 -- 500 -- 0 -- 2
3 -- 4 -- 32412 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 31599 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 7867 -- 0 -- 4000 -- 500 -- 0 -- 2
6 -- 4 -- 7946 -- 0 -- 4000 -- 500 -- 0 -- 2
7 -- 4 -- 31722 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 32202 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 8368 -- 0 -- 4000 -- 500 -- 0 -- 2
10 -- 4 -- 31873 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 31192 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 8083 -- 0 -- 4000 -- 500 -- 0 -- 2
13 -- 4 -- 30953 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 31631 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 8162 -- 0 -- 4000 -- 500 -- 0 -- 2
16 -- 4 -- 31562 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 8131 -- 0 -- 4000 -- 500 -- 0 -- 2
18 -- 4 -- 7880 -- 0 -- 4000 -- 500 -- 0 -- 2
19 -- 4 -- 8081 -- 0 -- 4000 -- 500 -- 0 -- 2
20 -- 4 -- 8154 -- 0 -- 4000 -- 500 -- 0 -- 2
21 -- 4 -- 31087 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 31503 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 8137 -- 0 -- 4000 -- 500 -- 0 -- 2
24 -- 4 -- 7983 -- 0 -- 4000 -- 500 -- 0 -- 2
25 -- 4 -- 31861 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 31486 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 7960 -- 0 -- 4000 -- 500 -- 0 -- 2
