task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
2 -- 1 -- 1304 -- 0 -- 657 -- 348.18 -- 0 -- 1
4 -- 1 -- 249 -- 0 -- 670 -- 16.5 -- 0 -- 2
7 -- 1 -- 255 -- 0 -- 670 -- 16.948 -- 0 -- 2
12 -- 1 -- 233 -- 0 -- 670 -- 23.801 -- 0 -- 2
18 -- 1 -- 238 -- 0 -- 670 -- 22.779 -- 0 -- 2
21 -- 1 -- 263 -- 0 -- 670 -- 27.233 -- 0 -- 2
23 -- 1 -- 248 -- 0 -- 670 -- 27.632 -- 0 -- 2
25 -- 1 -- 282 -- 0 -- 670 -- 21.558 -- 0 -- 2
27 -- 1 -- 256 -- 0 -- 670 -- 23.543 -- 0 -- 2
32 -- 1 -- 237 -- 0 -- 670 -- 24.112 -- 0 -- 2
33 -- 1 -- 261 -- 0 -- 670 -- 27.042 -- 0 -- 2
34 -- 1 -- 256 -- 0 -- 670 -- 17.692 -- 0 -- 2
36 -- 1 -- 259 -- 0 -- 670 -- 24.294 -- 0 -- 2
42 -- 1 -- 248 -- 0 -- 670 -- 25.095 -- 0 -- 2
43 -- 1 -- 287 -- 0 -- 670 -- 16.487 -- 0 -- 2
45 -- 1 -- 284 -- 0 -- 670 -- 20.688 -- 0 -- 2
49 -- 1 -- 261 -- 0 -- 670 -- 18.769 -- 0 -- 2
50 -- 1 -- 243 -- 0 -- 670 -- 18.46 -- 0 -- 2
54 -- 1 -- 283 -- 0 -- 670 -- 21.68 -- 0 -- 2
57 -- 1 -- 290 -- 0 -- 670 -- 21.834 -- 0 -- 2
58 -- 1 -- 288 -- 0 -- 670 -- 25.669 -- 0 -- 2
64 -- 1 -- 296 -- 0 -- 670 -- 28.712 -- 0 -- 2
67 -- 1 -- 256 -- 0 -- 670 -- 24.305 -- 0 -- 2
68 -- 1 -- 255 -- 0 -- 670 -- 16.604 -- 0 -- 2
73 -- 1 -- 252 -- 0 -- 670 -- 18.025 -- 0 -- 2
75 -- 1 -- 280 -- 0 -- 670 -- 16.856 -- 0 -- 2
82 -- 1 -- 256 -- 0 -- 670 -- 15.748 -- 0 -- 2
83 -- 1 -- 279 -- 0 -- 670 -- 18.696 -- 0 -- 2
85 -- 1 -- 284 -- 0 -- 670 -- 18.289 -- 0 -- 2
