taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- 0
136 -- 1 -- 92 -- 661 -- 318 -- 12.319071 -- 0.186 -- 1
132 -- 1 -- 88 -- 658 -- 318 -- 12.006538 -- 0.169 -- 1
126 -- 2 -- 88 -- 658 -- 318 -- 11.858574 -- 1.306 -- 1
135 -- 1 -- 96 -- 665 -- 318 -- 12.518247 -- 0.2 -- 1
134 -- 2 -- 101 -- 671 -- 318 -- 12.635973 -- 1.285 -- 1
125 -- 1 -- 91 -- 660 -- 318 -- 12.066371 -- 0.182 -- 1
130 -- 1 -- 100 -- 669 -- 318 -- 12.473339 -- 0.2 -- 1
129 -- 1 -- 96 -- 665 -- 318 -- 12.483845 -- 0.204 -- 1
128 -- 1 -- 100 -- 670 -- 318 -- 12.289195 -- 0.201 -- 1
127 -- 1 -- 103 -- 672 -- 318 -- 12.428197 -- 0.208 -- 1
118 -- 2 -- 89 -- 658 -- 318 -- 11.88517 -- 1.308 -- 1
117 -- 1 -- 98 -- 666 -- 318 -- 12.160416 -- 0.197 -- 1
121 -- 1 -- 95 -- 664 -- 318 -- 12.771824 -- 0.181 -- 1
122 -- 1 -- 93 -- 662 -- 318 -- 12.782229 -- 0.183 -- 1
120 -- 1 -- 99 -- 668 -- 318 -- 12.445932 -- 0.213 -- 1
123 -- 2 -- 102 -- 671 -- 318 -- 12.98982 -- 1.265 -- 1
124 -- 1 -- 102 -- 671 -- 318 -- 13.102163 -- 0.199 -- 1
111 -- 1 -- 87 -- 656 -- 318 -- 12.126152 -- 0.197 -- 1
110 -- 2 -- 91 -- 660 -- 318 -- 12.20159 -- 1.293 -- 1
109 -- 1 -- 100 -- 669 -- 318 -- 12.288981 -- 0.207 -- 1
115 -- 1 -- 100 -- 669 -- 318 -- 12.628083 -- 0.204 -- 1
113 -- 2 -- 96 -- 665 -- 318 -- 12.636706 -- 1.291 -- 1
112 -- 1 -- 101 -- 669 -- 318 -- 12.311681 -- 0.211 -- 1
116 -- 1 -- 99 -- 669 -- 318 -- 12.82325 -- 0.217 -- 1
34 -- 1 -- 91 -- 660 -- 318 -- 2.0763 -- 0.987 -- 1
36 -- 1 -- 95 -- 664 -- 318 -- 2.412732 -- 0.982 -- 1
35 -- 1 -- 99 -- 668 -- 318 -- 2.569345 -- 0.988 -- 1
100 -- 1 -- 94 -- 663 -- 318 -- 11.896411 -- 0.194 -- 1
98 -- 1 -- 97 -- 666 -- 318 -- 11.977675 -- 0.2 -- 1
108 -- 1 -- 90 -- 659 -- 318 -- 12.742019 -- 0.175 -- 1
33 -- 1 -- 100 -- 669 -- 318 -- 2.48531 -- 0.991 -- 1
32 -- 1 -- 102 -- 671 -- 318 -- 2.570265 -- 0.988 -- 1
97 -- 2 -- 95 -- 664 -- 318 -- 12.146571 -- 1.292 -- 1
99 -- 1 -- 99 -- 668 -- 318 -- 12.208693 -- 0.217 -- 1
30 -- 1 -- 102 -- 671 -- 318 -- 2.494151 -- 0.989 -- 1
106 -- 1 -- 94 -- 663 -- 318 -- 12.951837 -- 0.19 -- 1
