taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 6528 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 9247 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 2167 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 7584 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 23493 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 5197 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 9085 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 44919 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 11710 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 31642 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 13036 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 724 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 5206 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 32156 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 30689 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 2120 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 64000 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 26265 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 13420 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 8165 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 5 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 14379 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 9982 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 6655 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 3038 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 13969 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 10374 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 55685 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 1447 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 25979 -- 0 -- 4000 -- 500 -- 0 -- 1
