taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 37536 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 233 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 2020 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 4164 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 11926 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 12232 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 5278 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 18309 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 28058 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 9041 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 15871 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 11608 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 5132 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 10 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 14557 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 1232 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 2659 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 14810 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 5085 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 45022 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 15576 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 3185 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 22734 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 4333 -- 0 -- 4000 -- 500 -- 0 -- 1
