taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 4831 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 26674 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 1992 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 10181 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 18070 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 10991 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 11679 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 4321 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 17706 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 4607 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 15811 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 8640 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 11793 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 5339 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 17938 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 16558 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 15341 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 3235 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 15512 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 5386 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 4809 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 20654 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 9675 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 17537 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 21320 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 16634 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 8197 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 3275 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 11659 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 8921 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 9709 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 4887 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 9219 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 4580 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 10765 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 16033 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 20398 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 7152 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 11637 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 2229 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 26648 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 15444 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 18519 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 20991 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 9101 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 12574 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 2906 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 28527 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 12660 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 10577 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 7781 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 19947 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 2652 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 16867 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 7724 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 8902 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 21012 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 9075 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 8007 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 11066 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 4581 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 20854 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 14440 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 8167 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 5406 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 12891 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 30237 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 20213 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 5948 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 14921 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 22985 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 23455 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 5176 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 8412 -- 0 -- 4000 -- 500 -- 0 -- 1
