task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
473 -- 2 -- 1293 -- 0 -- 1262 -- 0.001 -- 0 -- 1
494 -- 2 -- 900 -- 0 -- 1243 -- 0.001 -- 0 -- 1
602 -- 2 -- 901 -- 0 -- 1278 -- 0.002 -- 0 -- 1
830 -- 2 -- 1300 -- 0 -- 1231 -- 0.001 -- 0 -- 1
1092 -- 2 -- 869 -- 0 -- 1275 -- 0.001 -- 0 -- 1
1277 -- 2 -- 936 -- 0 -- 1258 -- 0.001 -- 0 -- 1
1394 -- 2 -- 1312 -- 0 -- 1266 -- 0.003 -- 0 -- 1
1809 -- 2 -- 902 -- 0 -- 1219 -- 0.001 -- 0 -- 1
2059 -- 2 -- 899 -- 0 -- 1230 -- 0.001 -- 0 -- 1
2684 -- 2 -- 892 -- 0 -- 1249 -- 0.002 -- 0 -- 1
2815 -- 3 -- 872 -- 0 -- 1250 -- 0.001 -- 0 -- 1
3931 -- 2 -- 1265 -- 0 -- 1283 -- 0.001 -- 0 -- 1
4162 -- 2 -- 910 -- 0 -- 1251 -- 0.003 -- 0 -- 1
4797 -- 2 -- 1306 -- 0 -- 1259 -- 0.002 -- 0 -- 1
5074 -- 2 -- 1297 -- 0 -- 1246 -- 0.001 -- 0 -- 1
5718 -- 2 -- 1327 -- 0 -- 1258 -- 0.002 -- 0 -- 1
6450 -- 2 -- 1294 -- 0 -- 1262 -- 0.001 -- 0 -- 1
6514 -- 2 -- 1309 -- 0 -- 1239 -- 0.001 -- 0 -- 1
7394 -- 2 -- 862 -- 0 -- 1229 -- 0.001 -- 0 -- 1
8062 -- 2 -- 1260 -- 0 -- 1231 -- 0.001 -- 0 -- 1
8216 -- 2 -- 861 -- 0 -- 1242 -- 0.001 -- 0 -- 1
8401 -- 2 -- 906 -- 0 -- 1269 -- 0.001 -- 0 -- 1
8423 -- 2 -- 904 -- 0 -- 1265 -- 0.001 -- 0 -- 1
8655 -- 2 -- 908 -- 0 -- 1237 -- 0.001 -- 0 -- 1
8699 -- 2 -- 902 -- 0 -- 1287 -- 0.002 -- 0 -- 1
8858 -- 1 -- 923 -- 0 -- 1226 -- 0.001 -- 0 -- 1
8969 -- 2 -- 913 -- 0 -- 1252 -- 0.002 -- 0 -- 1
9330 -- 2 -- 1296 -- 0 -- 1255 -- 0.001 -- 0 -- 1
9342 -- 2 -- 1297 -- 0 -- 1261 -- 0.003 -- 0 -- 1
9606 -- 2 -- 929 -- 0 -- 1280 -- 0.003 -- 0 -- 1
9769 -- 2 -- 1291 -- 0 -- 1247 -- 0.002 -- 0 -- 1
