task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
4 -- 1 -- 1631 -- 0 -- 87 -- 1639.626 -- 0 -- 1
85 -- 1 -- 1630 -- 0 -- 100 -- 2080.681 -- 0 -- 2
89 -- 1 -- 1587 -- 0 -- 96 -- 2105.739 -- 0 -- 2
102 -- 1 -- 1894 -- 0 -- 98 -- 2165.565 -- 0 -- 2
113 -- 1 -- 1607 -- 0 -- 101 -- 2212.285 -- 0 -- 2
119 -- 1 -- 1598 -- 0 -- 97 -- 2121.511 -- 0 -- 2
122 -- 1 -- 1600 -- 0 -- 98 -- 2156.721 -- 0 -- 2
128 -- 1 -- 1962 -- 0 -- 86 -- 1598.06 -- 0 -- 1
153 -- 1 -- 1575 -- 0 -- 98 -- 1913.252 -- 0 -- 2
157 -- 1 -- 1915 -- 0 -- 100 -- 1987.377 -- 0 -- 2
164 -- 1 -- 1741 -- 0 -- 398 -- 7560.396 -- 0 -- 2
167 -- 1 -- 1782 -- 0 -- 400 -- 7556.423 -- 0 -- 2
168 -- 1 -- 1645 -- 0 -- 397 -- 7711.292 -- 0 -- 2
182 -- 1 -- 1678 -- 0 -- 402 -- 7950.622 -- 0 -- 2
200 -- 1 -- 1773 -- 0 -- 369 -- 6953.255 -- 0 -- 1
211 -- 1 -- 1668 -- 0 -- 365 -- 6965.831 -- 0 -- 1
232 -- 1 -- 1638 -- 0 -- 402 -- 7683.423 -- 0 -- 2
234 -- 1 -- 1763 -- 0 -- 402 -- 7721.834 -- 0 -- 2
250 -- 1 -- 1740 -- 0 -- 398 -- 7491.282 -- 0 -- 2
258 -- 1 -- 1766 -- 0 -- 399 -- 7634.212 -- 0 -- 2
272 -- 1 -- 1627 -- 0 -- 98 -- 1895.99 -- 0 -- 2
274 -- 1 -- 1962 -- 0 -- 99 -- 1910.116 -- 0 -- 2
305 -- 1 -- 1746 -- 0 -- 368 -- 6849.52 -- 0 -- 1
339 -- 1 -- 1785 -- 0 -- 402 -- 7579.726 -- 0 -- 2
371 -- 1 -- 1707 -- 0 -- 398 -- 7652.572 -- 0 -- 2
387 -- 1 -- 1642 -- 0 -- 366 -- 6766.182 -- 0 -- 1
423 -- 1 -- 1675 -- 0 -- 398 -- 7002.328 -- 0 -- 2
462 -- 1 -- 1735 -- 0 -- 407 -- 7508.61 -- 0 -- 2
473 -- 1 -- 1779 -- 0 -- 397 -- 7557.289 -- 0 -- 2
478 -- 1 -- 1806 -- 0 -- 397 -- 7573.157 -- 0 -- 2
483 -- 1 -- 1672 -- 0 -- 401 -- 7627.47 -- 0 -- 2
494 -- 1 -- 1670 -- 0 -- 403 -- 7692.939 -- 0 -- 2
505 -- 1 -- 1786 -- 0 -- 400 -- 7745.306 -- 0 -- 2
526 -- 1 -- 805 -- 0 -- 961 -- 474.963 -- 0 -- 3
533 -- 1 -- 803 -- 0 -- 957 -- 496.114 -- 0 -- 3
536 -- 1 -- 805 -- 0 -- 950 -- 499.022 -- 0 -- 3
538 -- 1 -- 808 -- 0 -- 953 -- 508.816 -- 0 -- 3
571 -- 1 -- 800 -- 0 -- 940 -- 617.026 -- 0 -- 3
591 -- 1 -- 1697 -- 0 -- 403 -- 7776.733 -- 0 -- 2
596 -- 1 -- 796 -- 0 -- 955 -- 501.075 -- 0 -- 3
602 -- 1 -- 1673 -- 0 -- 404 -- 7762.109 -- 0 -- 2
617 -- 1 -- 1684 -- 0 -- 404 -- 7791.332 -- 0 -- 2
629 -- 1 -- 1838 -- 0 -- 410 -- 7874.254 -- 0 -- 2
647 -- 1 -- 1691 -- 0 -- 407 -- 7643.602 -- 0 -- 2
648 -- 1 -- 1715 -- 0 -- 263 -- 4676.13 -- 0 -- 1
684 -- 1 -- 1676 -- 0 -- 402 -- 7696.969 -- 0 -- 2
707 -- 1 -- 1701 -- 0 -- 405 -- 6920.97 -- 0 -- 2
709 -- 1 -- 1744 -- 0 -- 404 -- 6941.484 -- 0 -- 2
729 -- 1 -- 1751 -- 0 -- 405 -- 6959.133 -- 0 -- 2
730 -- 1 -- 1751 -- 0 -- 367 -- 6700.432 -- 0 -- 1
732 -- 1 -- 1791 -- 0 -- 370 -- 6636.676 -- 0 -- 1
742 -- 1 -- 1754 -- 0 -- 407 -- 6999.158 -- 0 -- 2
750 -- 1 -- 1782 -- 0 -- 371 -- 6807.653 -- 0 -- 1
805 -- 1 -- 809 -- 0 -- 931 -- 452.767 -- 0 -- 3
814 -- 1 -- 839 -- 0 -- 951 -- 491.285 -- 0 -- 3
830 -- 1 -- 1799 -- 0 -- 400 -- 7369.714 -- 0 -- 2
845 -- 1 -- 1704 -- 0 -- 409 -- 7822.737 -- 0 -- 2
857 -- 1 -- 1803 -- 0 -- 395 -- 7244.635 -- 0 -- 2
877 -- 1 -- 1753 -- 0 -- 403 -- 6948.173 -- 0 -- 2
885 -- 1 -- 1680 -- 0 -- 403 -- 7687.138 -- 0 -- 2
894 -- 1 -- 1675 -- 0 -- 394 -- 7472.04 -- 0 -- 2
902 -- 1 -- 805 -- 0 -- 892 -- 402.421 -- 0 -- 3
915 -- 1 -- 1669 -- 0 -- 373 -- 6882.363 -- 0 -- 1
927 -- 1 -- 1681 -- 0 -- 369 -- 6968.409 -- 0 -- 1
937 -- 1 -- 1802 -- 0 -- 365 -- 6623.664 -- 0 -- 1
945 -- 1 -- 1757 -- 0 -- 366 -- 6783.773 -- 0 -- 1
957 -- 1 -- 1679 -- 0 -- 368 -- 6220.999 -- 0 -- 1
974 -- 1 -- 1681 -- 0 -- 367 -- 6267.812 -- 0 -- 1
1018 -- 1 -- 1665 -- 0 -- 364 -- 6759.89 -- 0 -- 1
1019 -- 1 -- 1680 -- 0 -- 369 -- 6944.058 -- 0 -- 1
1072 -- 1 -- 1692 -- 0 -- 401 -- 6866.272 -- 0 -- 2
1073 -- 1 -- 1747 -- 0 -- 403 -- 7402.633 -- 0 -- 2
1092 -- 1 -- 1727 -- 0 -- 401 -- 7567.257 -- 0 -- 2
1100 -- 1 -- 1675 -- 0 -- 467 -- 7944.512 -- 0 -- 1
1131 -- 1 -- 1738 -- 0 -- 369 -- 7550.649 -- 0 -- 1
1185 -- 1 -- 1786 -- 0 -- 440 -- 7797.339 -- 0 -- 2
1216 -- 1 -- 1802 -- 0 -- 437 -- 7755.775 -- 0 -- 2
1251 -- 1 -- 1761 -- 0 -- 430 -- 7915.359 -- 0 -- 2
1268 -- 1 -- 1811 -- 0 -- 433 -- 7901.616 -- 0 -- 2
1277 -- 1 -- 1806 -- 0 -- 430 -- 7953.626 -- 0 -- 2
1280 -- 1 -- 1675 -- 0 -- 423 -- 7946.18 -- 0 -- 2
1323 -- 1 -- 1775 -- 0 -- 431 -- 7911.317 -- 0 -- 2
