taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 36225 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 34573 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 37175 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 33560 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 31566 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 29281 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 32286 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 31744 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 35949 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 24072 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 32870 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 35690 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 29912 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 30732 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 28382 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 25931 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 37847 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 27740 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 34181 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 36451 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 37187 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 28190 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 30647 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 34067 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 30891 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 34624 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 35716 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 24901 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 34175 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 30364 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 35082 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 34980 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 34168 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 39614 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 43901 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 33081 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 41747 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 25618 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 30298 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 29727 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 32488 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 31823 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 28012 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 29306 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 37467 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 25542 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 30556 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 38291 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 33432 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 31608 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 38722 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 35693 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 31489 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 35626 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 28271 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 33255 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 32842 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 32566 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 24805 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 27574 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 27017 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 32367 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 37535 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 30023 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 27685 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 31733 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 36770 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 25905 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 17795 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 34106 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 34589 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 35050 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 30927 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 29193 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 27430 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 21253 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 36043 -- 0 -- 4000 -- 500 -- 0 -- 1
78 -- 4 -- 33849 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 24060 -- 0 -- 4000 -- 500 -- 0 -- 1
80 -- 4 -- 23945 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 26682 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 38853 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 26174 -- 0 -- 4000 -- 500 -- 0 -- 1
84 -- 4 -- 34179 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 27014 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 32419 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 35065 -- 0 -- 4000 -- 500 -- 0 -- 1
88 -- 4 -- 34236 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 26867 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 31123 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 33225 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 27682 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 39764 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 37228 -- 0 -- 4000 -- 500 -- 0 -- 1
95 -- 4 -- 37462 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 39777 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 28366 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 26826 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 35681 -- 0 -- 4000 -- 500 -- 0 -- 1
100 -- 4 -- 27555 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 31904 -- 0 -- 4000 -- 500 -- 0 -- 1
102 -- 4 -- 24520 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 31903 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 36633 -- 0 -- 4000 -- 500 -- 0 -- 1
105 -- 4 -- 35291 -- 0 -- 4000 -- 500 -- 0 -- 1
106 -- 4 -- 40806 -- 0 -- 4000 -- 500 -- 0 -- 1
107 -- 4 -- 28236 -- 0 -- 4000 -- 500 -- 0 -- 1
108 -- 4 -- 27303 -- 0 -- 4000 -- 500 -- 0 -- 1
109 -- 4 -- 28658 -- 0 -- 4000 -- 500 -- 0 -- 1
110 -- 4 -- 34987 -- 0 -- 4000 -- 500 -- 0 -- 1
111 -- 4 -- 28167 -- 0 -- 4000 -- 500 -- 0 -- 1
112 -- 4 -- 27525 -- 0 -- 4000 -- 500 -- 0 -- 1
113 -- 4 -- 35640 -- 0 -- 4000 -- 500 -- 0 -- 1
