taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 9855 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 12530 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 11249 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 6904 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 7512 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 10689 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 6868 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 5252 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 7171 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 7401 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 9755 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 7368 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 7223 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 7959 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 6521 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 11584 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 12776 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 7759 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 7117 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 10602 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 8957 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 8435 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 9716 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 7581 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 9835 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 10746 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 8664 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 3578 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 10014 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 5621 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 4659 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 7127 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 11658 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 5039 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 6272 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 10337 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 7471 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 7039 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 6738 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 8084 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 7213 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 6156 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 7122 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 8503 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 7063 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 7778 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 3969 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 7841 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 4391 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 7565 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 10152 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 5763 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 11138 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 8604 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 10757 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 6934 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 9142 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 8529 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 9524 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 7555 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 11132 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 8562 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 6806 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 8547 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 8327 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 7430 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 3373 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 8085 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 8206 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 6153 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 7084 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 5394 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 9131 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 6736 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 7831 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 4813 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 6423 -- 0 -- 4000 -- 500 -- 0 -- 1
78 -- 4 -- 4871 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 7646 -- 0 -- 4000 -- 500 -- 0 -- 1
80 -- 4 -- 7161 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 11332 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 5791 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 6945 -- 0 -- 4000 -- 500 -- 0 -- 1
84 -- 4 -- 10919 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 7150 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 8122 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 7847 -- 0 -- 4000 -- 500 -- 0 -- 1
88 -- 4 -- 7439 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 8331 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 8532 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 5323 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 6986 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 8539 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 10175 -- 0 -- 4000 -- 500 -- 0 -- 1
95 -- 4 -- 7711 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 8242 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 4886 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 6967 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 7898 -- 0 -- 4000 -- 500 -- 0 -- 1
100 -- 4 -- 7511 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 4436 -- 0 -- 4000 -- 500 -- 0 -- 1
102 -- 4 -- 6846 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 9100 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 7622 -- 0 -- 4000 -- 500 -- 0 -- 1
105 -- 4 -- 11288 -- 0 -- 4000 -- 500 -- 0 -- 1
106 -- 4 -- 5992 -- 0 -- 4000 -- 500 -- 0 -- 1
107 -- 4 -- 8595 -- 0 -- 4000 -- 500 -- 0 -- 1
108 -- 4 -- 6045 -- 0 -- 4000 -- 500 -- 0 -- 1
109 -- 4 -- 10065 -- 0 -- 4000 -- 500 -- 0 -- 1
110 -- 4 -- 9026 -- 0 -- 4000 -- 500 -- 0 -- 1
111 -- 4 -- 11745 -- 0 -- 4000 -- 500 -- 0 -- 1
112 -- 4 -- 7867 -- 0 -- 4000 -- 500 -- 0 -- 1
113 -- 4 -- 12071 -- 0 -- 4000 -- 500 -- 0 -- 1
114 -- 4 -- 6904 -- 0 -- 4000 -- 500 -- 0 -- 1
115 -- 4 -- 9344 -- 0 -- 4000 -- 500 -- 0 -- 1
116 -- 4 -- 8449 -- 0 -- 4000 -- 500 -- 0 -- 1
117 -- 4 -- 5879 -- 0 -- 4000 -- 500 -- 0 -- 1
118 -- 4 -- 8820 -- 0 -- 4000 -- 500 -- 0 -- 1
119 -- 4 -- 4258 -- 0 -- 4000 -- 500 -- 0 -- 1
120 -- 4 -- 6930 -- 0 -- 4000 -- 500 -- 0 -- 1
121 -- 4 -- 8339 -- 0 -- 4000 -- 500 -- 0 -- 1
122 -- 4 -- 7615 -- 0 -- 4000 -- 500 -- 0 -- 1
123 -- 4 -- 11224 -- 0 -- 4000 -- 500 -- 0 -- 1
124 -- 4 -- 8510 -- 0 -- 4000 -- 500 -- 0 -- 1
125 -- 4 -- 6970 -- 0 -- 4000 -- 500 -- 0 -- 1
126 -- 4 -- 5971 -- 0 -- 4000 -- 500 -- 0 -- 1
127 -- 4 -- 7639 -- 0 -- 4000 -- 500 -- 0 -- 1
128 -- 4 -- 6037 -- 0 -- 4000 -- 500 -- 0 -- 1
129 -- 4 -- 8576 -- 0 -- 4000 -- 500 -- 0 -- 1
130 -- 4 -- 9778 -- 0 -- 4000 -- 500 -- 0 -- 1
131 -- 4 -- 6897 -- 0 -- 4000 -- 500 -- 0 -- 1
132 -- 4 -- 5948 -- 0 -- 4000 -- 500 -- 0 -- 1
133 -- 4 -- 7644 -- 0 -- 4000 -- 500 -- 0 -- 1
134 -- 4 -- 10975 -- 0 -- 4000 -- 500 -- 0 -- 1
135 -- 4 -- 8238 -- 0 -- 4000 -- 500 -- 0 -- 1
136 -- 4 -- 7503 -- 0 -- 4000 -- 500 -- 0 -- 1
137 -- 4 -- 8716 -- 0 -- 4000 -- 500 -- 0 -- 1
138 -- 4 -- 8326 -- 0 -- 4000 -- 500 -- 0 -- 1
139 -- 4 -- 7638 -- 0 -- 4000 -- 500 -- 0 -- 1
140 -- 4 -- 9750 -- 0 -- 4000 -- 500 -- 0 -- 1
141 -- 4 -- 5901 -- 0 -- 4000 -- 500 -- 0 -- 1
142 -- 4 -- 10139 -- 0 -- 4000 -- 500 -- 0 -- 1
143 -- 4 -- 6458 -- 0 -- 4000 -- 500 -- 0 -- 1
144 -- 4 -- 7981 -- 0 -- 4000 -- 500 -- 0 -- 1
145 -- 4 -- 6202 -- 0 -- 4000 -- 500 -- 0 -- 1
146 -- 4 -- 4780 -- 0 -- 4000 -- 500 -- 0 -- 1
147 -- 4 -- 11103 -- 0 -- 4000 -- 500 -- 0 -- 1
148 -- 4 -- 8254 -- 0 -- 4000 -- 500 -- 0 -- 1
