taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 37163 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 31800 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 10972 -- 0 -- 4000 -- 500 -- 0 -- 2
4 -- 4 -- 20982 -- 0 -- 4000 -- 500 -- 0 -- 3
5 -- 4 -- 31508 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 11416 -- 0 -- 4000 -- 500 -- 0 -- 2
7 -- 4 -- 37758 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 24253 -- 0 -- 4000 -- 500 -- 0 -- 3
9 -- 4 -- 40229 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 10144 -- 0 -- 4000 -- 500 -- 0 -- 2
11 -- 4 -- 32678 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 22492 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 29305 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 11321 -- 0 -- 4000 -- 500 -- 0 -- 2
15 -- 4 -- 11191 -- 0 -- 4000 -- 500 -- 0 -- 2
16 -- 4 -- 14522 -- 0 -- 4000 -- 500 -- 0 -- 3
17 -- 4 -- 11171 -- 0 -- 4000 -- 500 -- 0 -- 2
18 -- 4 -- 12243 -- 0 -- 4000 -- 500 -- 0 -- 2
19 -- 4 -- 11205 -- 0 -- 4000 -- 500 -- 0 -- 2
20 -- 4 -- 33316 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 11614 -- 0 -- 4000 -- 500 -- 0 -- 2
22 -- 4 -- 11691 -- 0 -- 4000 -- 500 -- 0 -- 2
23 -- 4 -- 34448 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 9692 -- 0 -- 4000 -- 500 -- 0 -- 2
25 -- 4 -- 29812 -- 0 -- 4000 -- 500 -- 0 -- 1
