taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 32909 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 31664 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 31576 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 32022 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 32489 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 32528 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 32329 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 31124 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 32170 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 32248 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 31327 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 32356 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 31539 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 31698 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 32407 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 32555 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 31622 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 32092 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 32766 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 32596 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 32256 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 31419 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 31528 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 31736 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 31647 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 32252 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 31951 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 31837 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 30978 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 32185 -- 0 -- 4000 -- 500 -- 0 -- 1
