taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 10692 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 11162 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 11557 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 10490 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 10844 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 11987 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 11448 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 10305 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 11714 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 11332 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 11458 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 10178 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 10448 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 10747 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 11472 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 11056 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 10430 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 11300 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 11346 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 10203 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 11342 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 11213 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 9945 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 11204 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 10558 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 11609 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 10551 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 10959 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 11160 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 11331 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 11262 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 11532 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 10179 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 11003 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 11553 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 10307 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 11567 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 10466 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 11018 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 10681 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 11288 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 11409 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 11619 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 11341 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 10878 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 10982 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 10924 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 10752 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 11040 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 10977 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 11048 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 9973 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 11040 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 12056 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 11713 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 11768 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 11263 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 11226 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 11142 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 10522 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 11807 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 10531 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 10365 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 11485 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 10242 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 10238 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 10820 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 10167 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 11892 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 11877 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 12304 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 9980 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 11862 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 10819 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 10141 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 10604 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 11024 -- 0 -- 4000 -- 500 -- 0 -- 1
78 -- 4 -- 10979 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 10462 -- 0 -- 4000 -- 500 -- 0 -- 1
80 -- 4 -- 11786 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 10165 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 10971 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 11135 -- 0 -- 4000 -- 500 -- 0 -- 1
84 -- 4 -- 11871 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 10633 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 11006 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 10894 -- 0 -- 4000 -- 500 -- 0 -- 1
88 -- 4 -- 10459 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 11129 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 10763 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 10623 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 10807 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 10460 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 12373 -- 0 -- 4000 -- 500 -- 0 -- 1
95 -- 4 -- 12190 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 10400 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 11527 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 11655 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 11994 -- 0 -- 4000 -- 500 -- 0 -- 1
100 -- 4 -- 10436 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 11509 -- 0 -- 4000 -- 500 -- 0 -- 1
102 -- 4 -- 11312 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 10949 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 12035 -- 0 -- 4000 -- 500 -- 0 -- 1
105 -- 4 -- 10518 -- 0 -- 4000 -- 500 -- 0 -- 1
106 -- 4 -- 11044 -- 0 -- 4000 -- 500 -- 0 -- 1
