taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 16053 -- 0 -- 4000 -- 500 -- 0 -- 3
2 -- 4 -- 11518 -- 0 -- 4000 -- 500 -- 0 -- 2
3 -- 4 -- 15997 -- 0 -- 4000 -- 500 -- 0 -- 3
4 -- 4 -- 11024 -- 0 -- 4000 -- 500 -- 0 -- 2
5 -- 4 -- 31647 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 11151 -- 0 -- 4000 -- 500 -- 0 -- 2
7 -- 4 -- 31984 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 15730 -- 0 -- 4000 -- 500 -- 0 -- 3
9 -- 4 -- 10726 -- 0 -- 4000 -- 500 -- 0 -- 2
10 -- 4 -- 16531 -- 0 -- 4000 -- 500 -- 0 -- 3
11 -- 4 -- 11468 -- 0 -- 4000 -- 500 -- 0 -- 2
12 -- 4 -- 12172 -- 0 -- 4000 -- 500 -- 0 -- 2
13 -- 4 -- 32297 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 10327 -- 0 -- 4000 -- 500 -- 0 -- 2
15 -- 4 -- 10784 -- 0 -- 4000 -- 500 -- 0 -- 2
16 -- 4 -- 10888 -- 0 -- 4000 -- 500 -- 0 -- 2
17 -- 4 -- 11054 -- 0 -- 4000 -- 500 -- 0 -- 2
18 -- 4 -- 11620 -- 0 -- 4000 -- 500 -- 0 -- 2
19 -- 4 -- 16638 -- 0 -- 4000 -- 500 -- 0 -- 3
20 -- 4 -- 15753 -- 0 -- 4000 -- 500 -- 0 -- 3
21 -- 4 -- 33525 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 32176 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 31892 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 31759 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 10586 -- 0 -- 4000 -- 500 -- 0 -- 2
26 -- 4 -- 31739 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 9841 -- 0 -- 4000 -- 500 -- 0 -- 2
28 -- 4 -- 31953 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 32312 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 33002 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 16820 -- 0 -- 4000 -- 500 -- 0 -- 3
32 -- 4 -- 32478 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 32039 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 15513 -- 0 -- 4000 -- 500 -- 0 -- 3
35 -- 4 -- 31902 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 10321 -- 0 -- 4000 -- 500 -- 0 -- 2
37 -- 4 -- 16182 -- 0 -- 4000 -- 500 -- 0 -- 3
38 -- 4 -- 12127 -- 0 -- 4000 -- 500 -- 0 -- 2
39 -- 4 -- 10292 -- 0 -- 4000 -- 500 -- 0 -- 2
40 -- 4 -- 16119 -- 0 -- 4000 -- 500 -- 0 -- 3
41 -- 4 -- 32836 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 10455 -- 0 -- 4000 -- 500 -- 0 -- 2
43 -- 4 -- 30928 -- 0 -- 4000 -- 500 -- 0 -- 1
