taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 25454 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 30407 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 28215 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 10573 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 25510 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 39379 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 30199 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 36695 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 25286 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 37485 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 36100 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 29583 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 13695 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 24848 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 37279 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 23573 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 20987 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 13617 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 25527 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 22653 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 31452 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 37414 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 33382 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 31719 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 10555 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 29049 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 24769 -- 0 -- 4000 -- 500 -- 0 -- 1
