taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 8644 -- 0 -- 4000 -- 500 -- 0 -- 2
2 -- 4 -- 8717 -- 0 -- 4000 -- 500 -- 0 -- 4
3 -- 4 -- 8404 -- 0 -- 4000 -- 500 -- 0 -- 4
4 -- 4 -- 8565 -- 0 -- 4000 -- 500 -- 0 -- 3
5 -- 4 -- 8179 -- 0 -- 4000 -- 500 -- 0 -- 4
6 -- 4 -- 8532 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 8633 -- 0 -- 4000 -- 500 -- 0 -- 2
8 -- 4 -- 8514 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 8059 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 8937 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 8567 -- 0 -- 4000 -- 500 -- 0 -- 2
12 -- 4 -- 8398 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 8933 -- 0 -- 4000 -- 500 -- 0 -- 4
14 -- 4 -- 8672 -- 0 -- 4000 -- 500 -- 0 -- 3
15 -- 4 -- 8729 -- 0 -- 4000 -- 500 -- 0 -- 2
16 -- 4 -- 8207 -- 0 -- 4000 -- 500 -- 0 -- 3
17 -- 4 -- 8533 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 8240 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 8082 -- 0 -- 4000 -- 500 -- 0 -- 2
20 -- 4 -- 8927 -- 0 -- 4000 -- 500 -- 0 -- 4
21 -- 4 -- 8477 -- 0 -- 4000 -- 500 -- 0 -- 2
22 -- 4 -- 8920 -- 0 -- 4000 -- 500 -- 0 -- 3
23 -- 4 -- 8513 -- 0 -- 4000 -- 500 -- 0 -- 4
24 -- 4 -- 8604 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 8655 -- 0 -- 4000 -- 500 -- 0 -- 2
26 -- 4 -- 8765 -- 0 -- 4000 -- 500 -- 0 -- 4
27 -- 4 -- 8964 -- 0 -- 4000 -- 500 -- 0 -- 2
28 -- 4 -- 8512 -- 0 -- 4000 -- 500 -- 0 -- 4
29 -- 4 -- 8860 -- 0 -- 4000 -- 500 -- 0 -- 4
30 -- 4 -- 8388 -- 0 -- 4000 -- 500 -- 0 -- 4
31 -- 4 -- 8218 -- 0 -- 4000 -- 500 -- 0 -- 2
32 -- 4 -- 8568 -- 0 -- 4000 -- 500 -- 0 -- 4
33 -- 4 -- 8759 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 8159 -- 0 -- 4000 -- 500 -- 0 -- 2
35 -- 4 -- 8875 -- 0 -- 4000 -- 500 -- 0 -- 3
36 -- 4 -- 8636 -- 0 -- 4000 -- 500 -- 0 -- 4
