taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1 -- 4 -- 3242 -- 0 -- 4000 -- 500 -- 0 -- 1
2 -- 4 -- 1299 -- 0 -- 4000 -- 500 -- 0 -- 1
3 -- 4 -- 3529 -- 0 -- 4000 -- 500 -- 0 -- 1
4 -- 4 -- 2550 -- 0 -- 4000 -- 500 -- 0 -- 1
5 -- 4 -- 1473 -- 0 -- 4000 -- 500 -- 0 -- 1
6 -- 4 -- 3851 -- 0 -- 4000 -- 500 -- 0 -- 1
7 -- 4 -- 1461 -- 0 -- 4000 -- 500 -- 0 -- 1
8 -- 4 -- 1733 -- 0 -- 4000 -- 500 -- 0 -- 1
9 -- 4 -- 1133 -- 0 -- 4000 -- 500 -- 0 -- 1
10 -- 4 -- 1667 -- 0 -- 4000 -- 500 -- 0 -- 1
11 -- 4 -- 1322 -- 0 -- 4000 -- 500 -- 0 -- 1
12 -- 4 -- 2601 -- 0 -- 4000 -- 500 -- 0 -- 1
13 -- 4 -- 3252 -- 0 -- 4000 -- 500 -- 0 -- 1
14 -- 4 -- 1621 -- 0 -- 4000 -- 500 -- 0 -- 1
15 -- 4 -- 2439 -- 0 -- 4000 -- 500 -- 0 -- 1
16 -- 4 -- 2097 -- 0 -- 4000 -- 500 -- 0 -- 1
17 -- 4 -- 2230 -- 0 -- 4000 -- 500 -- 0 -- 1
18 -- 4 -- 2817 -- 0 -- 4000 -- 500 -- 0 -- 1
19 -- 4 -- 3564 -- 0 -- 4000 -- 500 -- 0 -- 1
20 -- 4 -- 1775 -- 0 -- 4000 -- 500 -- 0 -- 1
21 -- 4 -- 2934 -- 0 -- 4000 -- 500 -- 0 -- 1
22 -- 4 -- 1695 -- 0 -- 4000 -- 500 -- 0 -- 1
23 -- 4 -- 1008 -- 0 -- 4000 -- 500 -- 0 -- 1
24 -- 4 -- 3285 -- 0 -- 4000 -- 500 -- 0 -- 1
25 -- 4 -- 3729 -- 0 -- 4000 -- 500 -- 0 -- 1
26 -- 4 -- 3597 -- 0 -- 4000 -- 500 -- 0 -- 1
27 -- 4 -- 3834 -- 0 -- 4000 -- 500 -- 0 -- 1
28 -- 4 -- 2746 -- 0 -- 4000 -- 500 -- 0 -- 1
29 -- 4 -- 1315 -- 0 -- 4000 -- 500 -- 0 -- 1
30 -- 4 -- 1466 -- 0 -- 4000 -- 500 -- 0 -- 1
31 -- 4 -- 1091 -- 0 -- 4000 -- 500 -- 0 -- 1
32 -- 4 -- 3095 -- 0 -- 4000 -- 500 -- 0 -- 1
33 -- 4 -- 1952 -- 0 -- 4000 -- 500 -- 0 -- 1
34 -- 4 -- 1809 -- 0 -- 4000 -- 500 -- 0 -- 1
35 -- 4 -- 1069 -- 0 -- 4000 -- 500 -- 0 -- 1
36 -- 4 -- 2857 -- 0 -- 4000 -- 500 -- 0 -- 1
37 -- 4 -- 1783 -- 0 -- 4000 -- 500 -- 0 -- 1
38 -- 4 -- 2273 -- 0 -- 4000 -- 500 -- 0 -- 1
39 -- 4 -- 2132 -- 0 -- 4000 -- 500 -- 0 -- 1
40 -- 4 -- 1913 -- 0 -- 4000 -- 500 -- 0 -- 1
41 -- 4 -- 1542 -- 0 -- 4000 -- 500 -- 0 -- 1
42 -- 4 -- 1127 -- 0 -- 4000 -- 500 -- 0 -- 1
43 -- 4 -- 2616 -- 0 -- 4000 -- 500 -- 0 -- 1
44 -- 4 -- 1778 -- 0 -- 4000 -- 500 -- 0 -- 1
45 -- 4 -- 2324 -- 0 -- 4000 -- 500 -- 0 -- 1
46 -- 4 -- 1085 -- 0 -- 4000 -- 500 -- 0 -- 1
47 -- 4 -- 3716 -- 0 -- 4000 -- 500 -- 0 -- 1
48 -- 4 -- 3888 -- 0 -- 4000 -- 500 -- 0 -- 1
49 -- 4 -- 1208 -- 0 -- 4000 -- 500 -- 0 -- 1
50 -- 4 -- 3649 -- 0 -- 4000 -- 500 -- 0 -- 1
51 -- 4 -- 2567 -- 0 -- 4000 -- 500 -- 0 -- 1
52 -- 4 -- 1388 -- 0 -- 4000 -- 500 -- 0 -- 1
53 -- 4 -- 1566 -- 0 -- 4000 -- 500 -- 0 -- 1
54 -- 4 -- 2604 -- 0 -- 4000 -- 500 -- 0 -- 1
55 -- 4 -- 2044 -- 0 -- 4000 -- 500 -- 0 -- 1
56 -- 4 -- 3660 -- 0 -- 4000 -- 500 -- 0 -- 1
57 -- 4 -- 2094 -- 0 -- 4000 -- 500 -- 0 -- 1
58 -- 4 -- 3236 -- 0 -- 4000 -- 500 -- 0 -- 1
59 -- 4 -- 1532 -- 0 -- 4000 -- 500 -- 0 -- 1
60 -- 4 -- 1334 -- 0 -- 4000 -- 500 -- 0 -- 1
61 -- 4 -- 3338 -- 0 -- 4000 -- 500 -- 0 -- 1
62 -- 4 -- 1697 -- 0 -- 4000 -- 500 -- 0 -- 1
63 -- 4 -- 2543 -- 0 -- 4000 -- 500 -- 0 -- 1
64 -- 4 -- 2564 -- 0 -- 4000 -- 500 -- 0 -- 1
65 -- 4 -- 3917 -- 0 -- 4000 -- 500 -- 0 -- 1
66 -- 4 -- 3437 -- 0 -- 4000 -- 500 -- 0 -- 1
67 -- 4 -- 1225 -- 0 -- 4000 -- 500 -- 0 -- 1
68 -- 4 -- 1827 -- 0 -- 4000 -- 500 -- 0 -- 1
69 -- 4 -- 3670 -- 0 -- 4000 -- 500 -- 0 -- 1
70 -- 4 -- 2337 -- 0 -- 4000 -- 500 -- 0 -- 1
71 -- 4 -- 3866 -- 0 -- 4000 -- 500 -- 0 -- 1
72 -- 4 -- 1299 -- 0 -- 4000 -- 500 -- 0 -- 1
73 -- 4 -- 1197 -- 0 -- 4000 -- 500 -- 0 -- 1
74 -- 4 -- 1252 -- 0 -- 4000 -- 500 -- 0 -- 1
75 -- 4 -- 1032 -- 0 -- 4000 -- 500 -- 0 -- 1
76 -- 4 -- 2307 -- 0 -- 4000 -- 500 -- 0 -- 1
77 -- 4 -- 3238 -- 0 -- 4000 -- 500 -- 0 -- 1
78 -- 4 -- 2069 -- 0 -- 4000 -- 500 -- 0 -- 1
79 -- 4 -- 3103 -- 0 -- 4000 -- 500 -- 0 -- 1
80 -- 4 -- 2175 -- 0 -- 4000 -- 500 -- 0 -- 1
81 -- 4 -- 3001 -- 0 -- 4000 -- 500 -- 0 -- 1
82 -- 4 -- 2508 -- 0 -- 4000 -- 500 -- 0 -- 1
83 -- 4 -- 3292 -- 0 -- 4000 -- 500 -- 0 -- 1
84 -- 4 -- 3255 -- 0 -- 4000 -- 500 -- 0 -- 1
85 -- 4 -- 2987 -- 0 -- 4000 -- 500 -- 0 -- 1
86 -- 4 -- 1531 -- 0 -- 4000 -- 500 -- 0 -- 1
87 -- 4 -- 1273 -- 0 -- 4000 -- 500 -- 0 -- 1
88 -- 4 -- 2861 -- 0 -- 4000 -- 500 -- 0 -- 1
89 -- 4 -- 1571 -- 0 -- 4000 -- 500 -- 0 -- 1
90 -- 4 -- 3504 -- 0 -- 4000 -- 500 -- 0 -- 1
91 -- 4 -- 2766 -- 0 -- 4000 -- 500 -- 0 -- 1
92 -- 4 -- 2779 -- 0 -- 4000 -- 500 -- 0 -- 1
93 -- 4 -- 2696 -- 0 -- 4000 -- 500 -- 0 -- 1
94 -- 4 -- 3052 -- 0 -- 4000 -- 500 -- 0 -- 1
95 -- 4 -- 1068 -- 0 -- 4000 -- 500 -- 0 -- 1
96 -- 4 -- 2487 -- 0 -- 4000 -- 500 -- 0 -- 1
97 -- 4 -- 1439 -- 0 -- 4000 -- 500 -- 0 -- 1
98 -- 4 -- 3721 -- 0 -- 4000 -- 500 -- 0 -- 1
99 -- 4 -- 1658 -- 0 -- 4000 -- 500 -- 0 -- 1
100 -- 4 -- 2558 -- 0 -- 4000 -- 500 -- 0 -- 1
101 -- 4 -- 3498 -- 0 -- 4000 -- 500 -- 0 -- 1
102 -- 4 -- 2336 -- 0 -- 4000 -- 500 -- 0 -- 1
103 -- 4 -- 3480 -- 0 -- 4000 -- 500 -- 0 -- 1
104 -- 4 -- 1871 -- 0 -- 4000 -- 500 -- 0 -- 1
